"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 16 16:18:42 CDT 2023","Tue May 16 16:18:42 CDT 2023","40","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:17:05 CDT 2023","Tue May 16 16:17:10 CDT 2023","5065","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:14:09 CDT 2023","Tue May 16 17:14:18 CDT 2023","8274","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"broken","Tue May 16 16:18:16 CDT 2023","Tue May 16 16:18:19 CDT 2023","2186","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:13:30 CDT 2023","Tue May 16 17:13:35 CDT 2023","5127","","GetStart Page","","User launch Start page of an dsalgo project","","User launch Start page of an dsalgo project",""
"broken","Tue May 16 17:16:07 CDT 2023","Tue May 16 17:16:09 CDT 2023","2172","","Stack","","User navigate back to selected Stack Topic Page and try Practice Question Page","","User navigate back to selected Stack Topic Page and try Practice Question Page",""
"broken","Tue May 16 17:16:21 CDT 2023","Tue May 16 17:16:24 CDT 2023","2220","","Queue","","User navigate back to selected Queue Topic Page and try Practice Question Page","","User navigate back to selected Queue Topic Page and try Practice Question Page",""
"broken","Tue May 16 17:15:55 CDT 2023","Tue May 16 17:15:57 CDT 2023","2226","","Linked List","","User navigate back to selected LinkedList Topic Page and try Practice Question Page","","User navigate back to selected LinkedList Topic Page and try Practice Question Page",""
"passed","Tue May 16 17:13:43 CDT 2023","Tue May 16 17:13:45 CDT 2023","1591","","Register Page validation","","User click register button with all fields blank","","User click register button with all fields blank",""
"passed","Tue May 16 17:14:41 CDT 2023","Tue May 16 17:14:45 CDT 2023","3341","","Data Structure Intro","","User navigate to Data Structure Page for selected Topic and click on Try Here button","","User navigate to Data Structure Page for selected Topic and click on Try Here button",""
"broken","Tue May 16 16:17:48 CDT 2023","Tue May 16 16:17:52 CDT 2023","4226","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:24 CDT 2023","Tue May 16 17:16:27 CDT 2023","3212","","Tree","","User navigate to Tree Page for selected Topic  and click on Try Here button","","User navigate to Tree Page for selected Topic  and click on Try Here button",""
"passed","Tue May 16 16:15:10 CDT 2023","Tue May 16 16:15:11 CDT 2023","1709","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
